"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_85TXA-160 [20085]","CALC-ALKALI BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.08","18.42","","","","","","","","","","","","","","","","","","","","","","","","0.511575","","","","","","","","","","","","","","","","","","","","","","","","1017611",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_85TXA-399A [20085]","CALC-ALKALI BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.87","20.89","","","","","","","","","","","","","","","","","","","","","","","","0.511602","","","","","","","","","","","","","","","","","","","","","","","","1017612",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO","EAST MINDANAO","6","10","125","127","SAE","","","s_PH93-88 [4096]","CALC-ALKALI BASALT [4096]","","","","","","","","","VOL","","","S","","WR [4096] ","","","","","","","","","","","","","0.95","","","","","","","","","","","","","","","","","","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104164",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO","CENTRAL MINDANAO","7","9","124","126","SAE","","","s_KL188 [4096]","CALC-ALKALI BASALT [4096]","","","","","","","","","VOL","","","F","","WR [4096] ","","","","","","","","","","","","","1.33","","","","","","","","","","","","","","","","","","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104185",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO","CENTRAL MINDANAO, EASTERN PORTION, TALISAYAN TOWN","9","9","125","125","SAE","","","s_TALISAYAN [4096]","CALC-ALKALI BASALT [4096]","","","","","","","","","VOL","","","F","","WR [4096] ","","","","","","","","","","","","","2.63","","","","","","","","","","","","","","","","","","0.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104187",
"[4096]","CONVERGENT MARGIN","LUZON ARC / LUZON ARC / MINDANAO","CENTRAL MINDANAO","7","9","124","126","SAE","","","s_KINOGUITAN [4096]","CALC-ALKALI BASALT [4096]","","","","","","","","","VOL","","","S","","WR [4096] ","","","","","","","","","","","","","2.41","","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104191",
"[18608]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","OJOS NEGROS","40.74","40.74","-1.5","-1.5","SAE","","","s_ML-41 [18608]","CALC-ALKALI BASALT [18608]","","","","PALEOZOIC [18608]","","","","","VOL","","","","","WR [18608] ","55","0.851","","17","","","","4.64","6.62","4.68","0.08","","2.05","2.22","0.12","","","","","","","","","","","","","","","","5.31","","","","","","","","","","","","","","105","","21","","","","","","","","","","","","31.5","0.5","223","420","","","39","142","97.8","39.2","","","","","","60","213","11","110","3","","","","","","","","","","","","","417","17.6","36.1","4.3","17.2","4.1","1.49","3.8","0.7","3.8","0.61","2.1","","2.2","0.2","2.2","1","","","","","","","","","","","4.5","1.5","","","","","","","","","","","","","","","","","","","","","","","","","1067211",
"[18608]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","OJOS NEGROS","40.74","40.74","-1.5","-1.5","SAE","","","s_ML-42 [18608]","CALC-ALKALI BASALT [18608]","","","","PALEOZOIC [18608]","","","","","VOL","","","","","WR [18608] ","47.8","0.756","","16","","","","4.44","13.1","2.83","0.14","","2.38","2.01","0.12","","","","","","","","","","","","","","","","9.93","","","","","","","","","","","","","","51","","29","","","","","","","","","","","","28.2","0.3","172","410","","","17","115","21.3","213","","","","","","49","188","27","112","4","","","","","","","","","","","","","263","18.5","35.7","3.7","16.1","3.5","1.33","3.2","0.6","3.6","0.79","1.8","","1.6","0.32","2.6","1","","","","","","","","","","","4","1.3","","","","","","","","","","","","","","","","","","","","","","","","","1067212",
"[18608]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","OJOS NEGROS","40.74","40.74","-1.5","-1.5","SAE","","","s_ML-43 [18608]","CALC-ALKALI BASALT [18608]","","","","PALEOZOIC [18608]","","","","","VOL","","","","","WR [18608] ","51.8","0.756","","16.2","","","","5.64","9.83","5.96","0.09","","1.43","2.08","0.12","","","","","","","","","","","","","","","","5.31","","","","","","","","","","","","","","51","","44","","","","","","","","","","","","29.9","0.4","202","440","","","26","156","46.2","103","","","","","","49","242","20","104","3","","","","","","","","","","","","","269","6.1","34.7","4.5","18.1","3.9","1.16","3.6","0.6","3.8","0.66","2.1","","2.2","0.14","2.7","1","","","","","","","","","","","4.7","1.5","","","","","","","","","","","","","","","","","","","","","","","","","1067213",
"[18608]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","OJOS NEGROS","40.74","40.74","-1.5","-1.5","SAE","","","s_ML-44 [18608]","CALC-ALKALI BASALT [18608]","","","","PALEOZOIC [18608]","","","","","VOL","","","","","WR [18608] ","53.1","0.943","","16.7","","","","7.18","7.93","7.49","0.14","","1.11","2.4","0.15","","","","","","","","","","","","","","","","1.62","","","","","","","","","","","","","","18","","69","","","","","","","","","","","","26.6","0.4","197","360","","","23","137","36.9","87.4","","","","","","31","404","14","125","5","","","","","","","","","","","","","346","24.8","48.9","4.7","20.6","3.9","1.08","3.7","0.6","3.7","0.61","2","","2.4","0.2","2.9","1","","","","","","","","","","","5.6","1.6","","","","","","","","","","","","","","","","","","","","","","","","","1067214",
