"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[6633][6799]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / ALEXANDRA FIELD / OKETE","WHAITAIPU","-37.7","-38.3","174.7","175.5","SAE","","","s_105C [6633]","HAWAIITE [6633]","","","","NEOGENE [6633]","","","","","VOL","","","","","WR [6633] ","48.82","1.7","","14.5","","2.73","8.58","","9.4","7.96","0.17","","0.71","2.82","0.28","","","","","","","","","","","","","","","","1.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","187","430","","","61","131","50","113","","","","","","11.7","333","40","101","11","","","","","","","","","","","","0.5","168","18.5","25","","22.31","5.46","1.9","","0.88","","","","","2.32","0.33","2.7","0.8","","","","","","","","","7","","1.5","","0.512118","","","0.7034","","19.012","","15.623","","38.803","","","","","","","","","","","","","","","100639",
"[6633]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / ALEXANDRA FIELD / OKETE","KOPONUI","-37.7","-38.3","174.7","175.5","SAE","","","s_121 [6633]","HAWAIITE [6633]","","","","NEOGENE [6633]","","","","","VOL","","","","","WR [6633] ","47.28","1.89","","12.91","","5.54","7.31","","9.46","8.9","0.18","","0.91","2.74","0.36","","","","","","","","","","","","","","","","2.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","223","564","","","84","251","27","101","","","","","","15","423","32","116","16","","","","","","","","","","","","","235","20.8","34","","","5.4","1.8","","0.88","","","","","2.22","0.31","3.2","1.2","","","","","","","","","7","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","100640",
"[6633]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / ALEXANDRA FIELD / OKETE","NGAHAPE","-37.7","-38.3","174.7","175.5","SAE","","","s_125 [6633]","HAWAIITE [6633]","","","","NEOGENE [6633]","","","","","VOL","","","","","WR [6633] ","48.23","2.06","","12.66","","7.53","4.56","","8.75","10.98","0.16","","0.99","2.92","0.34","","","","","","","","","","","","","","","","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222","643","","","","267","67","137","21","","","","","20","393","","153","22","","","","","","","","","","","","","209","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","100644",
"[6633]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / ALEXANDRA FIELD / OKETE","HOUCHENS HILL","-37.7","-38.3","174.7","175.5","SAE","","","s_109 [6633]","HAWAIITE [6633]","","","","NEOGENE [6633]","","","","","VOL","","","","","WR [6633] ","48.07","1.9","","13.86","","4.81","6.86","","8.62","10.15","0.16","","0.85","2.87","0.35","","","","","","","","","","","","","","","","1.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","212","443","","","61","214","58","120","21","","","","","18","389","22","138","20","","","","","","","","","","","","0.6","219","16","33","","19","4.85","1.54","","0.74","","","","","1.74","0.27","3.5","1.1","","","","","","","","","2","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","100647",
"[6374]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / KAIKOHE-BAY OF ISLANDS FIELD","OKAIHAU, PUKETOTARA ROAD","-35.3","-35.3","173.9","173.9","SAE","","","s_44036 [6374]","BASALT [6374]","","","","","","","","","VOL","","","","","WR [6374] ","49.73","1.25","","17.5","","","","8.69","10.19","7.44","0.19","","0.46","3.9","0.21","0.15","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157","200","","","","97","68","66","","","","","","5","297","29","115","13","","","","","","","","","","","","","83","9.3","20","","11.6","3.3","1.11","","","","","","","2.3","0.3","","","","","","","","","","","","","","","0.51304","","","0.70269","","18.796","","15.581","","38.528","","","","","","","","","","","","","","","100760",
"[6374]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / WHANGAREI HEADS VOLCANIC COMPLEX","RUATANGATA AT WAIRUA FALLS","-35.3","-35.8","174","174.5","SAE","","","s_37682 [6374]","BASALT [6374]","","","","","","","","","VOL","","","","","WR [6374] ","50.69","1.26","","17.94","","","","7.15","9.92","7.41","0.14","","0.46","4.05","0.28","0.26","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","178","","","","94","53","62","","","","","","12","329","23","130","9","","","","","","","","","","","","","","9.1","20.8","","13.1","3.1","1.09","","","","","","","1.7","0.3","","","","","","","","","","","","","","","","","","","","18.767","","15.576","","38.484","","","","","","","","","","","","","","","100768",
"[6374]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / WHANGAREI HEADS VOLCANIC COMPLEX","MAUNU","-35.3","-35.8","174","174.5","SAE","","","s_44018 [6374]","BASALT [6374]","","","","","","","","","VOL","","","","","WR [6374] ","52.03","0.99","","18.47","","","","6.77","9.77","6.65","0.13","","0.36","4.03","0.24","0.15","","","","","","","","","","","","","","","0.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167","208","","","","79","43","61","","","","","","","359","22","130","9","","","","","","","","","","","","","110","10.4","23.1","","12.9","3.1","1.08","","","","","","","1.7","0.3","","","","","","","","","","","","","","","0.512992","","","0.70298","","18.805","","15.611","","38.665","","","","","","","","","","","","","","","100771",
"[6374]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / WHANGAREI HEADS VOLCANIC COMPLEX","TIKIPUNGA CENTRE, WHANGAREI FALLS","-35.3","-35.8","174","174.5","SAE","","","s_44020 [6374]","BASALT [6374]","","","","","","","","","VOL","","","","","WR [6374] ","49.78","1.39","","17.13","","","","8.1","10.33","7.16","0.15","","0.2","4.52","0.19","0.12","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","173","211","","","","68","69","65","","","","","","5.7","290","28","146","5.7","","","","","","","","","","","","","70","6.4","17.5","","13","3.39","1.31","","","","","","","2.4","0.38","","","","","","","","","","","","","0.66","0.3","0.513051","","","0.702583","","18.631","","15.569","","38.351","","","","","","","","","","","","","","","100772",
"[6374]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE","TARA, MANGAWHAI","-36.1","-36.1","174.5","174.5","SAE","","","s_42548 [6374]","BASALT [6374]","","","","","","","","","VOL","","","","","WR [6374] ","49.59","1.79","","14.92","","","","8.11","9.25","8.01","0.15","","1.68","3.65","1.09","","","","","","","","","","","","","","","","0.99","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224","298","","","","35","171","56","","","","","","20","1386","35.8","320","19.6","","","","","","","","","","","","","653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.945","","15.674","","38.997","","","","","","","","","","","","","","","100775",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-05 [20101]","HAWAIITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","47.98","1.5","","16.87","","","","8.37","9.55","5.86","0.15","","1.33","3.86","0.59","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","270","88.95","","","47","46","64.9","51","18.3","","","","","24","961.2","24.4","154.4","18.1","","","","","","","","","","","","2.1","414","47.5","89.4","10.27","39.8","6.1","1.8","5.69","0.74","4.83","0.87","2.27","0.35","2.07","0.34","3","1","123.8","","","","","","","","","","7.3","1.5","0.512743","","","0.70453","","","","","","","","","","","","","","","","","","","","","1019315",
