"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SAE","","","s_L9A2 [20208]","MELILITITE, OLIVINE [20208]","","","","PERMIAN [20208]","","","","","VOL","","","","","WR [20208] ","31.68","1.48","","5.38","0.23","","","10.18","10.99","19.55","0.181","","0.42","0.12","0.48","","","","","","","","","","","","","","","","18.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030804",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SAE","","","s_L3F1 [20208]","MELILITITE [20208]","","","","PERMIAN [20208]","","","","","VOL","","","","","WR [20208] ","32.46","1.85","","5.55","0.24","","","11.6","14.05","19.62","0.187","","0.71","0.4","0.65","","","","","","","","","","","","","","","","11.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1030805",
"[20208]","INTRAPLATE VOLCANICS","WYOMING CRATON / MISSOURI / MISSOURI BREAKS / AVON VOLCANIC DISTRICT","","37.76","37.76","-90.21","-90.21","SAE","","","s_A62A [20208]","MELILITITE [20208]","","","","PERMIAN [20208]","","","","","VOL","","","","","WR [20208] ","35.43","1.754","","5.7","0.19","","","11.15","12.48","21.68","0.183","","1.16","0.19","0.67","","","","","","","","","","","","","","","","8.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","426","","","","74","590","130","100","12","","","","","79","294","16.3","135","77.6","","","","","","","","","","","","1.2","1121","65.8","117","12.7","47.6","8.38","2.45","5.57","0.77","3.61","0.6","1.54","0.201","1.08","0.142","3.1","5.21","","","","","","","","","11","","9","2.68","","","","","","","","","","","","","","","","","","","","","","","","","1030806",
"[20273]","INTRAPLATE VOLCANICS","TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SAE","","","s_8814 [20273]","MELILITITE [20273]","","","","CENOZOIC [20273]","","","","","VOL","","","","","WR [20273] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","1292","24","359","117","","","","","","","","","","","","0.46","904","90","182","20","80.4","13.3","3.96","10.6","1.26","6.34","1","2.19","0.26","1.52","0.22","6.37","7.56","","","","","","","","","4.58","","11.6","3.18","0.51295","","","0.703164","","19.6014","","15.6417","","39.2337","","","","","","","","","","","","","","","1038067",
"[20273]","INTRAPLATE VOLCANICS","TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SAE","","","s_8815 [20273]","MELILITITE [20273]","","","","CENOZOIC [20273]","","","","","VOL","","","","","WR [20273] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","1209","23","333","113","","","","","","","","","","","","0.6","853","87","176","19","78","13","3.92","10.4","1.25","6.22","0.97","2.16","0.25","1.48","0.21","6.21","7.76","","","","","","","","","4.51","","11.1","2.95","0.512931","","","0.703227","","19.6408","","15.641","","39.2496","","","","","","","","","","","","","","","1038068",
"[20273]","INTRAPLATE VOLCANICS","TUAREG SHIELD / HOGGAR (AHAGGAR) SWELL / ALGERIA / IN TERIA VOLCANIC FIELD","","26.92","26.92","9.37","9.37","SAE","","","s_8816 [20273]","MELILITITE [20273]","","","","CENOZOIC [20273]","","","","","VOL","","","","","WR [20273] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","1106","22.8","317","107","","","","","","","","","","","","0.46","834","89.5","180","19.6","80.2","13.3","4","10.7","1.26","6.25","0.97","2.12","0.25","1.48","0.21","5.98","7.7","","","","","","","","","4.25","","11.4","2.84","0.512953","","","0.703148","","19.6569","","15.6374","","39.2458","","","","","","","","","","","","","","","1038069",
"[18092]","INTRAPLATE VOLCANICS","NORTH ATLANTIC CRATON / SOUTH GREENLAND / FREDERIKSHAB COMPLEX / FREDERIKSHAB ISBLINK DIKE SWARM","","62.645","62.645","-49.975","-49.975","SAE","","","s_109824 [18092]","MELILITITE [18092]","","","","","","","","","VOL","","","","","WR [18092] ","28.63","2.23","","8.9","","3.07","7.73","","21.56","3.2","0.49","","3.32","3.21","2.31","2.31","","","","12.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","300","16","","","","13","29","","","","","","","110","3921","82","689","325","","","","","","","","","","","","","1830","349","763","","271","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1039942",
"[20136]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","LUZICKE HORY MOUNTAINS","50.7","50.7","14.5","14.5","SAE","","","s_43 [20136]","MELILITITE, OLIVINE-NEPHELINE [20136]","","","","CENOZOIC [20136]","","","","","VOL","","","","","WR [20136] ","38.67","2.3","","9.77","","5.68","5.22","","15.19","13.04","0.19","","1.23","2.01","1.01","","2.6","0.39","","2.24","","0.12","","","","","","","","0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","740","","","","267","58","68","","","0","","","61","871","29","315","83","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085998",
"[20136]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","LUZICKE HORY MOUNTAINS","50.7","50.7","14.5","14.5","SAE","","","s_44 [20136]","MELILITITE, OLIVINE [20136]","","","","CENOZOIC [20136]","","","","","VOL","","","","","WR [20136] ","38.91","1.44","","7.86","","4.32","5.65","","16.91","14.76","0.17","","1.54","0.78","0.98","","4.61","0.43","","0.27","","0.12","","","","","","","","0.08","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","644","","","","347","66","64","","","0","","","70","1266","20","342","113","0","","","","","","","","","","","","300","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","1085999",
"[20136]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","LUZICKE HORY MOUNTAINS","50.7","50.7","14.5","14.5","SAE","","","s_45 [20136]","MELILITITE, OLIVINE [20136]","","","","CENOZOIC [20136]","","","","","VOL","","","","","WR [20136] ","38","2.34","","7.55","","4.64","5.34","","12.93","17.06","0.19","","1.19","1.06","1.03","","5.6","0.85","","1.94","","","","","","","","","","0.07","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","675","","","","588","52","110","","","0","","","213","1094","34","245","120","0","","","","","","","","","","","","1505","","","","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086000",
