"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[3348][635]","OCEAN ISLAND","MADEIRA ARCHIPELAGO / PORTO SANTO","QUARRY AT NORTHERN END OF PICO ANNA FERREIRA RIDGE","33.0469","33.0469","-16.3611","-16.3611","SAE","","","s_M-53 [3348] / s_M53 [635]","BASALT [3348] / MUGEARITE [635]","","","","","","","","","VOL","","","","","WR [3348] ","53.3","1.68","","18.39","","5.1","3.1","7.54","7.92","2.37","0.2","","1.1","5","0.6","0.85","","","","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116","0","","","15","0","","124","24","","","","","23.8","1149","40.4","488","86.8","","","","","","","","","","","","0.43","404","78.3","153","17.2","66.5","12.3","3.61","10.9","1.47","7.72","1.42","3.9","0.51","3.26","0.47","9.77","4.24","0.98","","","","","","","0.07","3.98","","6.77","1.4","","","","","","","","","","","","","","","","","","","","","","","","","10024",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-06 [20101]","MUGEARITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","50.86","1.16","","18.07","","","","7.13","9.3","2.47","0.19","","1.47","3.64","0.38","","","","","","","","","","","","","","","","4.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","148","","","","33.9","","42.9","82","20.6","","","","","29.3","583.5","27.1","189.3","20.2","","","","","","","","","","","","0.2","259","29.4","56.7","7","28.8","5.62","1.74","5.51","0.81","4.91","0.93","2.72","0.39","2.42","0.4","3.9","1.4","135.8","","","","","","","","","","4.7","1.2","","","","","","","","","","","","","","","","","","","","","","","","","1019331",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-25 [20101]","MUGEARITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","51.13","1.21","","17.43","","","","7.31","9.05","4.35","0.14","","1.69","3.69","0.29","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","199","109.48","","","44.1","31.3","32.2","66","18.1","","","","","36.6","640.2","20.4","157","17.9","","","","","","","","","","","","0.5","323","27","49.6","5.48","20.8","4.4","1.29","4.3","0.67","3.7","0.8","2.09","0.34","2.15","0.35","3.7","1.2","146.5","","","","","","","","","","4.9","1.5","","","","","","","","","","","","","","","","","","","","","","","","","1019332",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","ROQUE DEL CONDE MASSIF","28.3","28.3","-16.6","-16.6","SAE","","","s_AD13 [4843]","MUGEARITE [4843]","11000000 [4843]","","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","50.96","2.45","","17.99","","","","8.13","6.87","3.4","0.229","","2.32","5.09","0.95","","","","","","","","","","","","","","","","1.29","","","","","","","","","","","","","","","","","","","","","","","","","703","","","7","","118","3","","","","4","7","119","24.3","","","","","49.7","1068","46","527","132.8","","","","","","","","","","","","","621","88","186","","80","","","","","","","","","","","","","","","","","","","","","4.8","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","104608",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","ROQUE DEL CONDE MASSIF","28.3","28.3","-16.6","-16.6","SAE","","","s_AD14 [4843]","MUGEARITE [4843]","11000000 [4843]","","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","51.45","2.46","","18.07","","","","8.17","6.93","3.44","0.232","","2.369","5","0.949","","","","","","","","","","","","","","","","1.29","","","","","","","","","","","","","","","","","","","","","","","","","881","","","7","","119","3","","","","4","7","123","25.2","","","","","49.3","1082","46.8","529","133.4","","","","","","","","","","","","","629","89","188","","81","","","","","","","","","","","","","","","","","","","","","5","","9.6","","","","","","","","","","","","","","","","","","","","","","","","","","104609",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","ROQUE DEL CONDE MASSIF","28.3","28.3","-16.6","-16.6","SAE","","","s_AD15 [4843]","MUGEARITE [4843]","11000000 [4843]","","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","50.5","2.48","","18.54","","","","7.76","6.94","3.42","0.214","","2.524","5.41","0.855","","","","","","","","","","","","","","","","1.23","","","","","","","","","","","","","","","","","","","","","","","","","917","","","7","","117","5","","","","9","15","112","24.6","","","","","86.8","1132","41.2","544","146.4","","","","","","","","","","","","","614","94","193","","78","","","","","","","","","","","","","","","","","","","","","5.6","","11","","","","","","","","","","","","","","","","","","","","","","","","","","104610",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","ROQUE DEL CONDE MASSIF","28.3","28.3","-16.6","-16.6","SAE","","","s_AD18 [4843]","MUGEARITE [4843]","11000000 [4843]","","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","53.26","2.12","","18.39","","","","7.35","6.6","2.58","0.222","","2.298","5.33","0.637","","","","","","","","","","","","","","","","0.43","","","","","","","","","","","","","","","","","","","","","","","","","392","","","4","","94","1","","","","3","5","115","25.8","","","","","51.3","1083","48.1","533","137.4","","","","","","","","","","","","","616","89","177","","76","","","","","","","","","","","","","","","","","","","","","4.8","","9.8","","","","","","","","","","","","","","","","","","","","","","","","","","104613",
"[1365][1307]","OCEAN ISLAND","COMOROS / ANJOUAN (NZWANI) / DIFFERENTIATED STAGE","","-12.17","-12.17","44.41","44.41","SAE","","","s_AJ98 [1365] / s_AJ-98 [1307]","MUGEARITE, NEPHELINE [1365] / HAWAIITE, NEPHELINE [1307]","","","","","","","","","VOL","","","","","WR [1365] ","48.38","1.77","","17.22","","3.21","8.48","2.69","6.67","6.67","0.18","","2.63","6","0.88","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","11","","105","","","","","","68","1071","39","260","","","","","","","","","","","","","","1100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10463",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","TENO MASSIF","28.3","28.3","-16.83","-16.83","SAE","990","990","s_TE53 [4843]","MUGEARITE [4843]","6000000 [4843]","6400000 [4843]","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","51.08","2.59","","16.62","","","","9.65","7.26","3.57","0.222","","1.828","4.86","0.999","","","","","","","","","","","","","","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","1389","","","10","","134","5","","","","5","11","128","24","","","","","34.8","954","38.6","328","83.8","","","","","","","","","","","","","506","61","126","","62.03","12.298","3.803","10.9","","7.81","","3.47","","2.669","0.372","","","","","","","","","","","4.4","","6.6","","","","","","","","","","","","","","","","","","","","","","","","","","104686",
"[4843]","OCEAN ISLAND","CANARY ISLANDS / TENERIFE","TENO MASSIF","28.3","28.3","-16.83","-16.83","SAE","990","990","s_TE53 [4843]","MUGEARITE [4843]","6000000 [4843]","6400000 [4843]","","MIOCENE [4843]","","","","","VOL","","","","","WR [4843] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.2","125.4","","61.71","12.236","3.782","10.82","","7.78","","3.43","","2.672","0.372","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104687",
