"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SAE","","","s_DC08/4 [18844]","SUBALKALI BASALT [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOL","","","","","WR [18844] ","49.53","1.29","","13.13","","","","15.76","8.91","5.21","0.21","","0.83","2.43","0.18","","","","","","","","","","","","","","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","386","80","","","","80","","","19","","","","","49","176","27","96","4","","","","","","","","","","","","","208","12","25.9","3.31","14.1","3.7","1.16","4.4","0.8","5.2","1.1","3.2","0.5","3.4","0.53","2.7","0.2","","","","","","","","","","","2.4","0.7","","","","","","","","","","","","","","","","","","","","","","","","","1020626",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SAE","","","s_DC08/10 [18844]","SUBALKALI BASALT [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOL","","","","","WR [18844] ","51.14","0.77","","14.41","","","","12.06","10.55","6.83","0.2","","0.44","1.89","0.08","","","","","","","","","","","","","","","","0.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271","180","","","","110","","","17","","","","","18","137","15","52","2","","","","","","","","","","","","","73","8.1","16.2","2.08","8.2","2.3","0.76","2.7","0.5","3","0.6","1.8","0.27","1.7","0.27","1.4","0.1","","","","","","","","","","","1.4","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1020627",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SAE","","","s_DC08/12 [18844]","SUBALKALI BASALT [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOL","","","","","WR [18844] ","50.49","0.66","","14.85","","","","11.06","10.87","6.79","0.18","","0.26","1.92","0.05","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247","160","","","","110","","","16","","","","","7","139","14","43","2","","","","","","","","","","","","","67","6.4","13","1.69","6.8","1.9","0.68","2.4","0.4","2.6","0.5","1.6","0.24","1.5","0.24","1.1","0.1","","","","","","","","","","","1.1","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1020628",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SAE","","","s_EDD09/1 [18844]","SUBALKALI BASALT [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOL","","","","","WR [18844] ","50.72","0.35","","13.1","","","","9.34","10.01","13.95","0.16","","0.24","1.32","0.04","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","192","1170","","","","330","","","11","","","","","7","92","10","27","1","","","","","","","","","","","","","75","4.1","8.5","0.99","4.3","1.1","0.38","1.3","0.2","1.6","0.3","1","0.15","1","0.17","0.8","0.1","","","","","","","","","","","0.9","0.2","","","","","","","","","","","","","","","","","","","","","","","","","1020629",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SAE","","","s_EDD09/4 [18844]","SUBALKALI BASALT [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOL","","","","","WR [18844] ","50.89","0.48","","13.01","","","","10.5","10.24","12.56","0.18","","0.37","1.46","0.07","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203","890","","","","300","","","11","","","","","12","98","12","44","2","","","","","","","","","","","","","97","7","14.5","1.64","6.8","1.6","0.55","2","0.4","2.4","0.5","1.4","0.22","1.5","0.24","1.3","0.1","","","","","","","","","","","1.5","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1020630",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SAE","","","s_DC12/1 [18844]","SUBALKALI BASALT [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOL","","","","","WR [18844] ","51.49","0.68","","16.5","","","","10.53","11.36","6.22","0.17","","0.39","2.09","0.06","","","","","","","","","","","","","","","","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245","160","","","","120","","","15","","","","","14","156","13","47","1","","","","","","","","","","","","","89","5.5","11.8","1.39","6.3","1.9","0.69","2.2","0.4","2.5","0.5","1.4","0.23","1.5","0.25","1.2","0.1","","","","","","","","","","","1.2","0.3","","","","","","","","","","","","","","","","","","","","","","","","","1020631",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SAE","","","s_DC12/4 [18844]","SUBALKALI BASALT [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOL","","","","","WR [18844] ","51.09","0.58","","13.77","","","","10.71","10.69","10.29","0.18","","0.42","1.54","0.06","","","","","","","","","","","","","","","","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","220","640","","","","230","","","12","","","","","14","103","15","0.1","1.1","","","","","","","","","","","","","111","7.4","15.3","1.8","7.3","1.9","0.56","2.2","0.4","2.5","0.5","1.5","0.24","1.7","0.26","1","49","","","","","","","","","","","1.8","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1020632",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SAE","","","s_JEF-99-11 [18844]","SUBALKALI BASALT [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOL","","","","","WR [18844] ","49.42","0.51","","9.79","","","","10.29","9.43","15.51","0.18","","0.45","1.08","0.06","","","","","","","","","","","","","","","","1.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187","1220","","","","298","","","8","","","","","25","88","11","40","1.9","","","","","","","","","","","","","66","4.42","9.02","1.09","4.79","1.27","0.41","1.49","0.27","1.67","0.35","1.07","0.16","0.99","0.15","1","0.4","","","","","","","","","","","1.3","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1020633",
"[18844]","INTRAPLATE VOLCANICS","DHARWAR CRATON_PROTEROZOIC / EASTERN DHARWAR CRATON / CUDDAPAH BASIN / KUNIGAL MAFIC DIKE SWARM","","13","13","78","78","SAE","","","s_JEF-00-55 [18844]","SUBALKALI BASALT [18844]","","","PALEO [18844]","PROTEROZOIC [18844]","","","","","VOL","","","","","WR [18844] ","49.01","1.6","","13.82","","","","13.43","9.32","5.33","0.21","","0.9","2.39","0.23","","","","","","","","","","","","","","","","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","337","48","","","","47","","","14","","","","","20","229","24","96","4.9","","","","","","","","","","","","","342","11.8","25","3.12","14","3.55","1.19","3.79","0.65","3.9","0.78","2.26","0.33","2.02","0.31","2.4","0.6","","","","","","","","","","","1.7","0.4","","","","","","","","","","","","","","","","","","","","","","","","","1020634",
"[20056]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO","ARANDAS-ATOTONILCO AREA","20.6833","20.6833","-102.2167","-102.2167","SAE","","","s_JAL01 [20056]","SUBALKALI BASALT [20056]","","","","","","","","","VOL","","","","","WR [20056] ","49.31","1.25","","17.35","","","","10.18","8.65","5.58","0.152","","1.32","3.29","0.421","","","","","","","","","","","","","","","","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6","54.4","8.25","38.6","9.08","2.59","9.3","1.47","","1.51","4.24","0.58","3.59","0.51","","","","","","","","","","","","","","","0.512897","","","0.703663","","","","","","","","","","","","","","","","","","","","","1023883",
