"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[4343][3244]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / DOGO ISLAND/OKI ISLANDS","E OF GONGENBARA, 1.5 KM N OF SAIGO","36.3","36.3","133.3","133.3","SAE","","","s_65110302 [4343]","TRACHYBASALT, TITANAUGITE-OLIVINE [4343]","","","","PLIOCENE [4343]","","","","","VOL","","","","","WR [4343] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15600","","","","","","","","","","","","","","","","","27.6","444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43","","2.63","0.54","","","","0.704973","","17.86","","15.53","","38.39","","","","","","","","","","","","","","","100063",
"[4343][3244]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU/TAKASHIMA ISLET","EASTERN COAST OF TAKASHIMA ISLET, NW OF KARATSU, SAGA PREFECTURE","33.2","33.6","129.5","130","SAE","","","s_65110902 [4343]","TRACHYBASALT, TITANAUGITE-OLIVINE [4343]","","","","PLIOCENE [4343]","","","","","VOL","","","","","WR [4343] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16400","","","","","","","","","","","","","","","","","48.7","644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14","","4.35","0.89","","","","0.704586","","17.8","","15.46","","38.09","","","","","","","","","","","","","","","100072",
"[4745]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU","ABU DISTRICT, HORIKOSHI","34","35","130","132","SAE","","","s_1 [4745]","TRACHYBASALT [4745]","","","","","","","","","VOL","","","","","WR [4745] ","52.02","1.67","","16.31","","2.01","6.24","","8.17","6.74","0.14","","1.44","4.27","0.67","","0.69","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100076",
"[4745]","CONVERGENT MARGIN","HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU","ABU DISTRICT, KUNIGATOGE","34","35","130","132","SAE","","","s_2 [4745]","TRACHYBASALT [4745]","","","","","","","","","VOL","","","","","WR [4745] ","50.82","1.29","","17.57","","1.34","6.94","","9.22","4.97","0.09","","1.67","3.93","0.75","","0.86","0.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100077",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-16 [20008]","TRACHYBASALT [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","48.48","1.18","","15.15","","","","8.54","7.03","5.58","0.15","","3.02","3.2","0.62","","","","","","","","","","","","","","","","5.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4","","","","30.5","","","","","","","","65.7","948","22","185","9.44","","","","","","","","","","","","","3488","65","126","15.2","58.4","9.61","2.52","7.4","0.9","4.54","0.85","2.18","0.3","1.94","0.29","4.66","0.52","","","","","","","","","","","8.99","1.36","","","","","","","","","","","","","","","","","","","","","","","","","1011152",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-25 [20008]","TRACHYBASALT [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","48.78","1.02","","14.74","","","","7.32","6.27","3.75","0.13","","4.92","2.12","0.75","","","","","","","","","","","","","","","","9.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.2","","","","20.3","","","","","","","","167","493","25.2","262","12.2","","","","","","","","","","","","","2280","80.5","154","17.8","66.4","11","2.8","8.71","1.07","5.32","0.96","2.39","0.32","1.98","0.29","6.02","0.61","","","","","","","","","","","10.8","2.06","","","","","","","","","","","","","","","","","","","","","","","","","1011153",
"[20008]","INTRAPLATE VOLCANICS","CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / ANHUI PROVINCE","JINGANGTAI, NORTH HUAIYANG","31.75","31.75","115.75","115.75","SAE","","","s_JGT-27 [20008]","TRACHYBASALT [20008]","","","LOWER [20008]","CRETACEOUS [20008]","","","","","VOL","","","","","WR [20008] ","50.06","1.07","","15.25","","","","7.61","5.15","4.08","0.11","","4.25","2.73","0.78","","","","","","","","","","","","","","","","8.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","","","","16.5","","","","","","","","134","422","25","263","12.3","","","","","","","","","","","","","2899","79.7","152","17.7","65.5","11","2.8","8.75","1.06","5.37","0.95","2.39","0.32","1.98","0.3","6.05","0.62","","","","","","","","","","","10.6","1.64","0.5117","","","0.708562","","","","","","","","","","","","","","","","","","","","","1011154",
"[20033]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD","PUEBLO VIEJO","18.5258","18.5258","-99.1958","-99.1958","SAE","836","836","s_AT-3 [20033]","TRACHYBASALT [20033]","","","","","","","","","VOL","","","","","WR [20033] ","51.34","1.83","","15.96","","","","8.59","7.73","7.6","0.14","","1.31","3.95","0.59","","","","","","","","","","","","","","","","0.21","","","","","","","","","","","","","","","1.7","","","","","","","","","","","","","18","","141","255","","","36","127","","86","","","","","","21","534","29","233","21","","","","","","","","","","","","0.6","377","24.6","57.8","7.4","28.6","6.4","2","5.7","1","5.49","1.07","3","0.43","2.74","0.41","5.4","1.4","","","","","","","","","5","","3","0.7","0.512806","","","0.703713","","18.7761","","15.602","","38.518","","","","","","","","","","","","","","","1014129",
"[20033]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / MORELOS / CHICHINAUTZIN VOLCANIC FIELD","ATLACHOLOAYA","18.6892","18.6892","-99.2336","-99.2336","SAE","1018","1018","s_AT-7 [20033]","TRACHYBASALT [20033]","","","","","","","","","VOL","","","","","WR [20033] ","50.54","1.97","","15.53","","","","8.81","8.28","7.76","0.15","","1.36","3.87","0.74","","","","","","","","","","","","","","","","0.08","","","","","","","","","","","","","","","1.8","","","","","","","","","","","","","18.4","","141","206","","","35","100","","101","","","","","","23","525","30","258","21","","","","","","","","","","","","0.8","394","28.7","53.6","8.7","33.7","7.4","2.3","6.6","1.16","6.22","1.2","3.34","0.48","3.07","0.47","6.3","1.5","","","","","","","","","7","","3","0.9","0.512777","","","0.704029","","18.7783","","15.604","","38.525","","","","","","","","","","","","","","","1014131",
"[20056]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO","ARANDAS-ATOTONILCO AREA","20.6","20.6","-102.2167","-102.2167","SAE","","","s_JAL04 [20056]","TRACHYBASALT [20056]","","","","","","","","","VOL","","","","","WR [20056] ","50.42","1.08","","16.75","","","","8.59","7.85","7.11","0.145","","2.09","3.13","0.522","","","","","","","","","","","","","","","","0.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2","43.6","5.86","26.8","6.16","1.86","6.14","1.08","","1.01","2.85","0.42","2.68","0.43","","","","","","","","","","","","","","","0.512918","","","0.70395","","","","","","","","","","","","","","","","","","","","","1023885",
