"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[840]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / KILAUEA / SHIELD STAGE / PUNA BASALT","IKI LAVA LAKE","19.4","19.4","-155.27","-155.27","SAE","","","s_10 [840]","TRANSITIONAL BASALT [840]","","","","","","","","","VOL","","","","","WR [840] ","47.73","3.95","","14.58","","1.36","12.99","","8.92","6.01","0.2","","0.98","2.43","0.43","","0.09","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10047",
"[6374]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / KAIKOHE-BAY OF ISLANDS FIELD","MAUNGATUROTO","-35.3","-35.3","173.9","173.9","SAE","","","s_44033 [6374]","BASALT [6374]","","","","","","","","","VOL","","","","","WR [6374] ","49.17","1.67","","17.24","","","","8.22","10.82","6.98","0.13","","0.75","3.5","0.3","0.29","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205","192","","","","70","50","70","","","","","","7","456","21","132","21","","","","","","","","","","","","","129","20","43.2","","23.4","5.7","1.88","","","","","","","3.2","0.5","","","","","","","","","","","","","","","0.513016","","","0.702805","","18.865","","15.557","","38.507","","","","","","","","","","","","","","","100759",
"[6374]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / KAIKOHE-BAY OF ISLANDS FIELD","COOK ROAD","-35.3","-35.3","173.9","173.9","SAE","","","s_44042 [6374]","BASALT [6374]","","","","","","","","","VOL","","","","","WR [6374] ","48.15","1.29","","16.63","","","","10.59","8.92","7.24","0.17","","0.32","3.3","0.2","1.09","","","","","","","","","","","","","","","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161","262","","","","174","73","95","","","","","","","202","30","99","11","","","","","","","","","","","","","84","7.5","17.4","","11.01","2.9","1.07","","","","","","","2.6","0.4","","","","","","","","","","","","","","","0.513002","","","0.702868","","18.774","","15.572","","38.531","","","","","","","","","","","","","","","100762",
"[6374]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / WHANGAREI HEADS VOLCANIC COMPLEX","RUAPEKAPEKA","-35.3","-35.8","174","174.5","SAE","","","s_44052 [6374]","BASALT [6374]","","","","","","","","","VOL","","","","","WR [6374] ","48.28","1.49","","17.12","","","","8.25","11.24","6.54","0.18","","0.53","3.02","0.24","0.47","","","","","","","","","","","","","","","1.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171","197","","","","154","62","77","","","","","","13","403","26","148","13","","","","","","","","","","","","","90","10.2","22.9","","13.3","3.9","1.23","","","","","","","2","0.3","","","","","","","","","","","","","","","0.512998","","","0.702715","","19.006","","15.569","","38.594","","","","","","","","","","","","","","","100765",
"[6374]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / WHANGAREI HEADS VOLCANIC COMPLEX","MIROWHAKITIKI","-35.3","-35.8","174","174.5","SAE","","","s_44027 [6374]","BASALT [6374]","","","","","","","","","VOL","","","","","WR [6374] ","52.43","1.2","","18.32","","","","6.81","8.69","5.31","0.12","","0.59","4.58","0.27","0.35","","","","","","","","","","","","","","","0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","159","","","","62","42","65","","","","","","11","409","43","159","6","","","","","","","","","","","","","129","14.1","30.4","","19.7","4.7","1.58","","","","","","","2.7","0.4","","","","","","","","","","","","","","","0.512976","","","0.703125","","18.779","","15.602","","38.633","","","","","","","","","","","","","","","100773",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_99TXC263C [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","8.43","","","","","","","","","","","","","","","","","","","","","","","","0.512051","","","","","","","","","","","","","","","","","","","","","","","","1017619",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_99TXC263D [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.81","8.45","","","","","","","","","","","","","","","","","","","","","","","","0.511925","","","","","","","","","","","","","","","","","","","","","","","","1017620",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_99TXC263F [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.28","8.79","","","","","","","","","","","","","","","","","","","","","","","","0.512019","","","","","","","","","","","","","","","","","","","","","","","","1017621",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_98TXH421A [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.97","7.33","","","","","","","","","","","","","","","","","","","","","","","","0.51214","","","","","","","","","","","","","","","","","","","","","","","","1017625",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_98TXH427B [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.53","64.79","","","","","","","","","","","","","","","","","","","","","","","","0.51238","","","","","","","","","","","","","","","","","","","","","","","","1017626",
